the_geom,Loc,OBJECTID,Borough,Street_Nam,From_Stree,To_Street,Index,May07_D,May07_AM,May07_PM,May07_D2,May07_MD,Sept07_D,Sept07_AM,Sept07_PM,Sept07_D2,Sept07_MD,May08_D,May08_AM,May08_PM,May08_D2,May08_MD,Sept08_D,Sept08_AM,Sept08_PM,Sept08_D2,Sept08_MD,May09_D,May09_AM,May09_PM,May09_D2,May09_MD,Sept09_D,Sept09_AM,Sept09_PM,Sept09_D2,Sept09_MD,May10_D,May10_AM,May10_PM,May10_D2,May10_MD,Sept10_D,Sept10_AM,Sept10_PM,Sept10_D2,Sept10_MD,May11_D,May11_AM,May11_PM,May11_D2,May11_MD,Sept11_D,Sept11_AM,Sept11_PM,Sept11_D2,Sept11_MD,May12_D,May12_AM,May12_PM,May12_D2,May12_MD,Sept12_D,Sept12_AM,Sept12_PM,Sept12_D2,Sept12_MD,May13_D,May13_AM,May13_PM,May13_D2,May13_MD,Sept13_D,Sept13_AM,Sept13_PM,Sept13_D2,Sept13_MD,May14_D,May14_AM,May14_PM,May14_D2,May14_MD,Sept14_D,Sept14_AM,Sept14_PM,Sept14_D2,Sept14_MD,May15_D,May15_AM,May15_PM,May15_D2,May15_MD,Sept15_D,Sept15_AM,Sept15_PM,Sept15_D2,Sept15_MD,May16_D,May16_AM,May16_PM,May16_D2,May16_MD,Sept16_D,Sept16_AM,Sept16_PM,Sept16_D2,Sept16_MD,May17_D,May17_AM,May17_PM,May17_D3,May17_MD,Sept17_D,Sept17_AM,Sept17_PM,Sept17_D2,Sept17_MD
POINT (-73.99094199014799 40.70806538980725),102,102,East River Bridges,Manhattan Bridge - North Path,midpoint,,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5/20/2009,14,12,5/23/2009,28,-,-,-,-,-,5/12/2010,13,36,5/8/2010,32,9/8/2010,0,0,9/25/2010,3,5/18/2011,9,24,5/21/2011,10,9/14/2011,150,178,9/24/2011,115,5/31/2012,9,23,5/12/2012,109,9/13/2012,6,41,9/15/2012,8,5/21/2013,10,24,5/18/2013,18,9/25/2013,8,10,10/12/2013,34,5/14/2014,6,14,5/3/2014,20,10/2/2014,3,5,9/13/2014,6,5/14/2015,3,2,5/9/2015,7,9/24/2015,8,7,10/3/2015,3,05/05/16,5,14,05/07/16,13,09/14/16,5,3,09/10/16,9,05/04/17,3,5,06/03/17,5,09/07/17,3,4,09/16/17,5
POINT (-73.99114419929703 40.707948478670204),103,103,East River Bridges,Manhattan Bridge - South Path,midpoint,,N,5/9/2007,82,131,5/12/2007,158,9/26/2007,64,136,9/29/2007,93,5/8/2008,62,211,5/17/2008,78,9/11/2008,75,207,9/6/2008,85,5/20/2009,97,221,5/23/2009,163,9/22/2009,90,198,10/10/2009,205,5/12/2010,60,235,5/8/2010,95,9/8/2010,75,245,9/25/2010,176,5/18/2011,52,237,5/21/2011,302,9/14/2011,72,102,9/24/2011,92,5/31/2012,80,144,5/12/2012,245,9/13/2012,104,305,9/15/2012,274,5/21/2013,134,313,5/18/2013,195,9/25/2013,128,312,10/12/2013,330,5/14/2014,144,452,5/3/2014,415,10/2/2014,124,283,9/13/2014,201,5/14/2015,142,351,5/9/2015,260,9/24/2015,176,381,10/3/2015,184,05/05/16,109,277,05/07/16,385,09/14/16,231,260,09/10/16,222,05/04/17,191,542,06/03/17,465,09/07/17,176,522,09/16/17,210
POINT (-73.97202493782653 40.71353372301596),104,104,East River Bridges,Williamsburg Bridge,midpoint,,N,5/9/2007,130,345,5/5/2007,370,9/26/2007,161,289,9/29/2007,312,5/8/2008,203,497,5/17/2008,455,9/24/2008,232,382,9/13/2008,315,5/7/2009,328,539,5/27/2009,507,9/23/2009,130,383,10/10/2009,343,5/12/2010,104,402,5/1/2010,468,9/14/2010,269,547,9/18/2010,396,5/5/2011,256,647,4/30/2011,582,9/20/2011,224,304,9/17/2011,443,5/31/2012,269,377,6/9/2012,305,9/12/2012,374,776,9/15/2012,720,5/2/2013,385,861,5/4/2013,"1,086",10/2/2013,400,838,10/5/2013,800,5/7/2014,394,830,5/10/2014,973,10/9/2014,263,713,9/13/2014,578,5/28/2015,374,906,5/10/2015,"1,093",9/10/2015,430,812,10/3/2015,765,05/25/16,443,940,05/07/16,819,09/20/16,423,923,09/10/16,731,05/10/17,442,979,06/03/17,"1,077",09/13/17,401,538,09/16/17,713
POINT (-73.95460085520162 40.75686986008736),105,105,East River Bridges,Queensboro Bridge,midpoint,,N,5/9/2007,35,107,5/12/2007,103,9/27/2007,28,114,9/29/2007,68,4/29/2008,17,70,5/10/2008,94,9/24/2008,94,196,9/13/2008,165,5/5/2009,345,506,5/23/2009,82,9/22/2009,54,154,10/10/2009,94,5/26/2010,91,230,5/15/2010,95,9/15/2010,90,243,9/11/2010,164,5/24/2011,87,272,5/14/2011,95,9/15/2011,112,114,9/17/2011,128,5/31/2012,117,185,6/9/2012,111,10/17/2012,107,278,9/22/2012,120,5/1/2013,142,379,5/4/2013,226,10/2/2013,130,414,10/5/2013,197,5/14/2014,127,729,5/3/2014,250,9/4/2014,142,374,9/20/2014,224,6/2/2015,133,332,5/9/2015,207,9/10/2015,167,317,10/3/2015,216,05/26/16,161,373,06/04/16,209,09/14/16,260,334,09/17/16,218,05/09/17,212,403,05/06/17,227,09/06/17,222,399,10/14/17,227
POINT (-73.91119970135458 40.87354735900006),106,106,Harlem River Bridges,Broadway Bridge,midpoint,,N,5/8/2007,360,782,5/5/2007,455,9/27/2007,271,684,9/29/2007,410,5/1/2008,314,743,5/17/2008,652,9/24/2008,420,814,9/27/2008,751,5/21/2009,354,584,5/23/2009,683,9/23/2009,541,924,10/10/2009,449,5/26/2010,406,776,5/1/2010,689,9/8/2010,427,926,10/2/2010,601,5/18/2011,352,1266,4/30/2011,512,9/14/2011,730,1117,10/1/2011,834,5/2/2012,497,709,5/5/2012,795,9/12/2012,529,"1,084",9/15/2012,905,5/7/2013,478,976,5/18/2013,623,10/1/2013,537,998,10/5/2013,778,5/6/2014,473,978,5/17/2014,739,9/4/2014,530,818,10/11/2014,594,5/13/2015,540,925,5/16/2015,521,9/17/2015,566,972,10/3/2015,644,05/11/16,500,981,05/14/16,563,09/22/16,425,"1,034",09/24/16,614,05/09/17,519,"1,081",06/03/17,415,09/12/17,521,796,09/23/17,538
POINT (-73.91488962537817 40.86276958338552),107,107,Harlem River Bridges,University Heights Bridge,midpoint,,N,5/8/2007,192,480,5/5/2007,321,9/25/2007,124,343,9/29/2007,172,5/1/2008,181,419,5/17/2008,331,9/24/2008,223,487,9/27/2008,272,5/5/2009,162,455,5/23/2009,245,9/23/2009,216,558,10/10/2009,308,5/26/2010,184,538,5/1/2010,386,9/8/2010,259,548,10/2/2010,281,5/10/2011,186,682,4/30/2011,319,9/8/2011,265,531,10/1/2011,265,5/2/2012,222,327,5/12/2012,369,9/11/2012,272,527,9/15/2012,351,5/7/2013,258,610,5/18/2013,348,10/1/2013,264,579,10/5/2013,298,5/6/2014,317,511,5/17/2014,346,9/4/2014,284,535,10/11/2014,190,5/12/2015,315,793,5/16/2015,322,9/24/2015,302,606,10/3/2015,290,05/25/16,321,840,05/14/16,296,09/21/16,368,638,09/24/16,320,05/09/17,331,653,06/03/17,207,09/12/17,339,613,09/23/17,290
POINT (-73.93380588837293 40.82809995999487),108,108,Harlem River Bridges,Macombs Dam Bridge,midpoint,,N,5/8/2007,103,197,5/5/2007,297,9/25/2007,224,351,9/29/2007,148,5/6/2008,129,304,5/17/2008,213,9/27/2008,209,297,9/24/2008,168,5/20/2009,151,183,5/23/2009,293,9/30/2009,265,478,10/10/2009,396,5/26/2010,166,380,5/15/2010,322,9/14/2010,251,409,9/11/2010,373,5/5/2011,222,407,4/30/2011,286,9/13/2011,275,472,9/10/2011,389,6/6/2012,275,382,6/9/2012,320,9/13/2012,258,460,9/22/2012,372,5/2/2013,267,485,5/18/2013,479,9/18/2013,253,465,9/21/2013,408,5/6/2014,247,476,5/17/2014,402,9/18/2014,404,664,9/13/2014,585,5/6/2015,259,498,5/16/2015,411,9/10/2015,423,690,10/3/2015,590,05/12/16,270,518,05/21/16,418,09/20/16,449,714,09/24/16,608,05/10/17,267,497,06/03/17,410,09/06/17,459,725,09/23/17,605
POINT (-73.93330492386069 40.8194949454115),109,109,Harlem River Bridges,145th Street Bridge,midpoint,,N,5/8/2007,132,200,5/5/2007,135,9/25/2007,158,338,9/29/2007,122,5/6/2008,7,23,5/17/2008,8,9/24/2008,89,135,9/27/2008,99,5/20/2009,72,157,5/23/2009,58,9/30/2009,92,216,10/10/2009,299,5/6/2010,70,159,5/1/2010,216,9/14/2010,113,197,10/2/2010,236,5/19/2011,128,201,4/30/2011,290,9/14/2011,117,219,9/17/2011,261,5/31/2012,79,286,6/16/2012,351,9/11/2012,325,836,9/22/2012,497,5/2/2013,250,897,5/18/2013,494,9/18/2013,353,873,9/21/2013,533,5/6/2014,124,493,5/17/2014,292,9/18/2014,197,526,9/13/2014,386,5/6/2015,136,505,5/16/2015,323,9/10/2015,193,539,10/3/2015,394,05/10/16,112,456,05/14/16,293,09/20/16,208,563,09/24/16,389,05/10/17,133,457,06/03/17,278,09/06/17,235,589,09/23/17,416
POINT (-73.9331330278822 40.81413106797774),110,110,Harlem River Bridges,Madison Avenue Bridge,midpoint,,N,5/8/2007,145,305,5/5/2007,113,9/25/2007,303,513,9/29/2007,197,5/6/2008,174,148,5/17/2008,144,9/24/2008,290,362,9/27/2008,118,5/20/2009,272,331,5/23/2009,251,9/30/2009,214,242,9/26/2009,162,5/13/2010,313,367,5/1/2010,199,9/14/2010,256,346,10/2/2010,164,5/24/2011,350,392,5/21/2011,240,9/14/2011,295,473,10/1/2011,231,5/31/2012,407,412,6/16/2012,263,9/11/2012,418,458,9/22/2012,170,5/2/2013,266,354,5/18/2013,194,9/18/2013,341,431,9/21/2013,211,5/6/2014,344,501,5/17/2014,194,9/18/2014,348,458,9/13/2014,182,5/6/2015,356,542,5/16/2015,193,9/10/2015,381,500,10/3/2015,223,05/10/16,238,391,05/14/16,206,09/20/16,410,540,09/24/16,251,05/10/17,253,452,06/03/17,237,09/13/17,449,589,09/23/17,277
POINT (-73.93252967704326 40.80755481010347),111,111,Harlem River Bridges,Third Avenue Bridge,midpoint,,N,5/8/2007,49,126,5/5/2007,400,9/27/2007,88,190,10/6/2007,65,5/7/2008,60,130,5/10/2008,46,9/25/2008,66,147,9/27/2008,73,5/6/2009,99,153,5/23/2009,53,9/30/2009,138,166,9/26/2009,131,5/13/2010,96,188,5/1/2010,106,9/21/2010,116,201,10/2/2010,131,5/19/2011,145,210,5/7/2011,166,9/20/2011,178,230,10/1/2011,139,5/31/2012,208,191,6/2/2012,137,9/11/2012,202,374,9/15/2012,166,5/2/2013,179,332,5/18/2013,184,9/18/2013,176,318,9/21/2013,168,5/15/2014,203,342,5/3/2014,200,10/2/2014,196,360,9/20/2014,188,5/21/2015,217,364,5/16/2015,210,9/9/2015,198,325,10/3/2015,221,05/12/16,185,324,5/7/16,175,09/27/16,214,342,9/24/16,247,05/11/17,190,352,6/3/17,185,09/07/17,229,349,9/9/17,251
POINT (-73.92896107917844 40.80376927982205),112,112,Harlem River Bridges,Willis Avenue Bridge,midpoint,,N,5/10/2007,57,118,5/5/2007,127,9/27/2007,125,214,10/6/2007,85,5/7/2008,218,193,5/10/2008,100,9/25/2008,146,178,9/27/2008,82,5/6/2009,83,110,5/23/2009,78,9/29/2009,66,110,9/26/2009,79,5/13/2010,66,102,5/1/2010,71,9/21/2010,78,118,10/2/2010,50,5/19/2011,71,87,5/7/2011,29,9/20/2011,61,102,10/1/2011,60,6/5/2012,82,114,6/9/2012,71,9/11/2012,134,213,9/15/2012,126,5/2/2013,152,331,5/18/2013,108,9/18/2013,176,349,9/21/2013,144,5/15/2014,127,309,5/3/2014,108,9/23/2014,168,351,9/20/2014,148,5/20/2015,133,319,5/9/2015,122,9/9/2015,168,338,10/3/2015,162,05/12/16,101,242,5/7/16,123,09/27/16,227,393,9/24/16,158,05/11/17,109,237,6/3/17,144,09/07/17,273,458,9/9/17,181
POINT (-73.92785197149036 40.80034506063931),113,113,Harlem River Bridges,Triborough Bridge (Manhattan span),midpoint,,N,5/10/2007,17,35,5/5/2007,34,9/27/2007,11,44,10/6/2007,24,5/7/2008,30,44,5/10/2008,16,9/25/2008,30,200,9/27/2008,23,5/6/2009,37,44,5/23/2009,23,9/29/2009,20,174,9/26/2009,66,5/13/2010,12,39,5/1/2010,55,9/21/2010,36,205,10/2/2010,64,5/19/2011,10,45,5/7/2011,11,9/20/2011,7,119,10/1/2011,39,6/6/2012,26,21,6/9/2012,49,9/11/2012,6,33,9/15/2012,15,5/2/2013,12,42,5/18/2013,16,9/18/2013,13,31,9/21/2013,40,5/15/2014,14,32,5/3/2014,10,9/23/2014,21,42,9/20/2014,20,5/20/2015,19,36,5/9/2015,14,9/9/2015,17,40,10/3/2015,28,05/12/16,10,18,5/7/16,8,09/27/16,21,43,9/24/16,21,05/11/17,7,19,6/3/17,5,09/07/17,16,38,9/9/17,24
POINT (-73.93686603590555 40.78611224350851),114,114,Harlem River Bridges,Wards Island Bridge,midpoint,,N,5/10/2007,57,207,5/5/2007,71,9/26/2007,63,186,10/6/2007,149,5/7/2008,45,203,5/10/2008,113,9/25/2008,80,190,9/27/2008,120,5/5/2009,33,213,5/23/2009,324,9/30/2009,43,151,10/10/2009,173,5/13/2010,37,169,5/1/2010,674,9/21/2010,77,205,10/2/2010,913,5/5/2011,32,66,5/7/2011,70,9/20/2011,62,189,10/1/2011,936,6/7/2012,78,249,6/9/2012,439,9/11/2012,102,460,9/15/2012,569,5/2/2013,191,455,5/18/2013,435,10/1/2013,92,514,10/5/2013,594,5/15/2014,164,527,5/3/2014,312,9/23/2014,123,458,9/20/2014,564,5/20/2015,189,539,5/9/2015,312,9/9/2015,117,424,10/3/2015,581,05/12/16,160,484,5/7/16,300,09/27/16,159,490,9/24/16,587,05/11/17,169,493,6/3/17,312,09/07/17,178,519,9/9/17,608
