the_geom,Loc,OBJECTID,Borough,Street_Nam,From_Stree,To_Street,Index,May07_D,May07_AM,May07_PM,May07_D2,May07_MD,Sept07_D,Sept07_AM,Sept07_PM,Sept07_D2,Sept07_MD,May08_D,May08_AM,May08_PM,May08_D2,May08_MD,Sept08_D,Sept08_AM,Sept08_PM,Sept08_D2,Sept08_MD,May09_D,May09_AM,May09_PM,May09_D2,May09_MD,Sept09_D,Sept09_AM,Sept09_PM,Sept09_D2,Sept09_MD,May10_D,May10_AM,May10_PM,May10_D2,May10_MD,Sept10_D,Sept10_AM,Sept10_PM,Sept10_D2,Sept10_MD,May11_D,May11_AM,May11_PM,May11_D2,May11_MD,Sept11_D,Sept11_AM,Sept11_PM,Sept11_D2,Sept11_MD,May12_D,May12_AM,May12_PM,May12_D2,May12_MD,Sept12_D,Sept12_AM,Sept12_PM,Sept12_D2,Sept12_MD,May13_D,May13_AM,May13_PM,May13_D2,May13_MD,Sept13_D,Sept13_AM,Sept13_PM,Sept13_D2,Sept13_MD,May14_D,May14_AM,May14_PM,May14_D2,May14_MD,Sept14_D,Sept14_AM,Sept14_PM,Sept14_D2,Sept14_MD,May15_D,May15_AM,May15_PM,May15_D2,May15_MD,Sept15_D,Sept15_AM,Sept15_PM,Sept15_D2,Sept15_MD,May16_D,May16_AM,May16_PM,May16_D2,May16_MD,Sept16_D,Sept16_AM,Sept16_PM,Sept16_D2,Sept16_MD,May17_D,May17_AM,May17_PM,May17_D3,May17_MD,Sept17_D,Sept17_AM,Sept17_PM,Sept17_D2,Sept17_MD
POINT (-73.90459140730678 40.87919896648571),1,1,Bronx,Broadway,West 231st Street,Naples Terrace,N,5/10/2007,1189,4094,5/5/2007,2508,9/25/2007,734,2646,9/29/2007,2939,5/1/2008,802,4015,5/17/2008,2631,9/23/2008,1125,4310,10/4/2008,3420,5/5/2009,1001,3475,5/2/2009,2832,9/10/2009,991,4262,9/26/2009,2469,5/6/2010,1010,3609,5/1/2010,3128,9/8/2010,863,4119,9/11/2010,2217,5/10/2011,997,4440,4/30/2011,2687,9/8/2011,1328,3820,9/10/2011,2428,5/3/2012,1288,3328,6/2/2012,3365,9/12/2012,"1,268","4,315",9/15/2012,"2,276",5/7/2013,"1,210","4,710",5/18/2013,"3,825",10/1/2013,"1,206","4,590",10/5/2013,"3,008",5/8/2014,"1,220","4,384",5/17/2014,"2,641",9/4/2014,"1,450","4,646",9/6/2014,"2,996",5/13/2015,"1,788","4,980",5/16/2015,"3,033",9/17/2015,1204,4520,9/12/2015,2999,05/05/16,"1,246","4,531",05/07/16,"2,686",09/27/16,"1,309","3,642",09/10/16,"2,830",05/09/17,"1,916","5,893",05/06/17,"2,776",09/12/17,"1,111","4,044",09/23/17,"2,731"
POINT (-73.92188432870218 40.82662794123289),2,2,Bronx,East 161st Street,Grand Concourse,Sheridan Avenue,Y,5/10/2007,1511,3184,5/5/2007,1971,9/25/2007,1855,3754,9/29/2007,1183,5/6/2008,1136,2638,5/17/2008,1522,9/23/2008,1939,3283,10/4/2008,1383,5/5/2009,1351,3111,5/2/2009,1304,9/10/2009,1227,3137,9/26/2009,2762,5/6/2010,2077,3283,5/1/2010,1409,9/14/2010,1007,3069,9/11/2010,1477,5/5/2011,1734,3333,4/30/2011,1772,9/14/2011,2051,3525,9/10/2011,1752,5/3/2012,1233,1875,6/2/2012,1912,9/12/2012,"2,113","4,099",9/22/2012,"1,970",5/1/2013,"2,278","4,215",5/4/2013,"2,288",9/18/2013,"2,071","3,890",9/21/2013,"1,832",5/8/2014,"2,206","4,363",5/17/2014,"2,315",9/11/2014,"1,949","4,435",9/13/2014,"2,388",5/19/2015,"2,318","4,589",5/16/2015,"2,483",9/17/2015,2005,4790,9/26/2015,2512,05/10/16,"2,053","4,721",05/14/16,"2,311",09/20/16,"2,109","5,485",09/10/16,"2,548",05/09/17,"1,848","4,920",05/06/17,"2,143",09/16/17,"2,389","5,952",09/23/17,"2,832"
POINT (-73.89535781584335 40.86215460031514),3,3,Bronx,East Fordham Road,Valentine Avenue,Tiebout Avenue,Y,5/10/2007,1832,12311,5/5/2007,14391,9/25/2007,1829,9215,9/29/2007,15065,5/1/2008,1061,8013,5/17/2008,7927,9/23/2008,2497,10010,10/4/2008,8013,5/5/2009,1689,8374,5/2/2009,7472,9/10/2009,2387,10655,9/26/2009,6614,5/6/2010,2285,10943,5/1/2010,10424,9/8/2010,2807,12658,9/11/2010,7714,5/10/2011,2289,15890,4/30/2011,9167,9/8/2011,2679,13548,9/10/2011,8140,5/3/2012,2125,7635,6/9/2012,7022,9/11/2012,"2,704","10,486",9/15/2012,"7,421",5/1/2013,"2,710","12,723",5/4/2013,"8,872",10/1/2013,"2,651","10,613",10/5/2013,"8,241",5/8/2014,"2,699","12,490",5/17/2014,"6,339",9/4/2014,"2,752","10,408",9/6/2014,"8,266",5/13/2015,"2,382","11,216",5/16/2015,"7,574",9/17/2015,2733,10586,9/12/2015,9072,05/05/16,"2,540","11,272",05/07/16,"8,422",09/27/16,"2,422","11,145",09/10/16,"9,775",05/09/17,"2,557","12,125",05/06/17,"6,499",09/12/17,"2,783","12,388",09/23/17,"7,076"
POINT (-73.87892467324478 40.881286995987274),4,4,Bronx,East Gun Hill Road,Bainbridge Avenue,Rochambeau Avenue,N,5/10/2007,764,2673,5/5/2007,1798,9/25/2007,1360,1975,9/29/2007,872,5/1/2008,2102,3206,5/17/2008,1989,9/23/2008,3020,3915,10/4/2008,1662,5/5/2009,1536,2997,5/2/2009,1672,9/10/2009,2097,3135,9/26/2009,1591,5/6/2010,2954,3962,5/1/2010,1717,9/8/2010,1622,3006,9/11/2010,1344,5/10/2011,1661,2844,4/30/2011,1510,9/8/2011,1996,2836,9/10/2011,1587,5/3/2012,1906,2066,6/9/2012,1261,9/12/2012,"2,371","3,500",9/15/2012,"1,620",5/1/2013,"2,052","3,981",5/4/2013,"1,979",10/9/2013,"2,373","3,660",10/12/2013,"1,914",5/8/2014,"2,096","3,378",5/17/2014,"1,333",9/4/2014,"2,382","3,425",9/6/2014,"1,339",5/13/2015,"1,757","3,561",5/16/2015,"1,714",9/17/2015,2256,2923,9/12/2015,1574,05/05/16,"2,066","2,944",05/07/16,"1,752",09/27/16,"2,017","2,771",09/10/16,"1,459",05/09/17,"2,125","3,130",05/20/17,"1,123",09/12/17,"2,453","3,429",09/23/17,"1,551"
POINT (-73.88956389732787 40.84463677671764),5,5,Bronx,East Tremont Avenue,Prospect Avenue,Clinton Avenue,N,5/10/2007,650,2538,5/5/2007,2334,9/25/2007,1078,2739,9/29/2007,2343,4/29/2008,553,2438,5/10/2008,1652,9/23/2008,756,3095,10/4/2008,1374,5/5/2009,684,2660,5/2/2009,2604,9/10/2009,912,3637,9/26/2009,2339,5/6/2010,1075,5823,5/15/2010,4085,9/8/2010,1012,5785,9/11/2010,3758,5/24/2011,1093,6119,5/21/2011,4274,9/14/2011,1049,5859,9/10/2011,3934,5/31/2012,627,1503,6/9/2012,2371,9/13/2012,959,"3,140",9/22/2012,"2,273",5/1/2013,"1,007","4,175",5/4/2013,"2,854",10/9/2013,760,"3,488",10/12/2013,"2,805",5/21/2014,971,"3,586",5/31/2014,"2,460",9/4/2014,"1,019","3,184",9/6/2014,"2,366",5/21/2015,"1,055","3,710",5/9/2015,"2,554",9/17/2015,1063,3296,9/19/2015,2466,05/12/16,993,"3,625",05/21/16,"2,492",09/22/16,"1,101","3,336",09/10/16,"2,501",05/04/17,980,"3,700",05/06/17,"2,526",09/13/17,"1,082","3,330",09/23/17,"2,479"
POINT (-73.92087824799184 40.83015855511031),6,6,Bronx,Grand Concourse,East 164th Street,East 165th Street,Y,5/10/2007,489,1235,5/5/2007,835,9/25/2007,873,1457,9/29/2007,631,5/6/2008,634,1554,5/17/2008,856,9/23/2008,771,1445,10/4/2008,744,5/5/2009,605,1271,5/2/2009,539,9/10/2009,599,1028,9/26/2009,750,5/6/2010,597,1426,5/1/2010,669,9/8/2010,634,1341,9/18/2010,738,5/5/2011,753,1394,4/30/2011,891,9/14/2011,802,1396,9/10/2011,859,6/6/2012,838,1372,6/2/2012,1069,9/12/2012,936,"1,743",9/22/2012,"1,059",5/1/2013,912,"2,059",5/4/2013,"1,037",9/18/2013,963,"1,726",9/21/2013,973,5/8/2014,858,"2,035",5/17/2014,"1,042",9/11/2014,972,"1,902",9/13/2014,"1,097",5/19/2015,839,"2,023",5/16/2015,"1,059",9/17/2015,999,1948,9/26/2015,1161,05/10/16,767,"1,933",05/14/16,"1,010",09/20/16,982,"1,971",09/10/16,"1,165",05/09/17,740,"1,909",05/20/17,925,09/06/17,962,"1,872",09/23/17,"1,199"
POINT (-73.91635737290386 40.81688745834863),7,7,Bronx,Third Avenue,East 150th Street,East 151st Street,Y,5/10/2007,703,8776,5/5/2007,2865,9/25/2007,858,6503,9/29/2007,5501,4/29/2008,636,6123,5/10/2008,4461,9/23/2008,1499,5803,10/4/2008,4251,5/5/2009,1696,7236,5/2/2009,3540,9/10/2009,1446,6730,9/26/2009,7409,5/6/2010,1624,6877,5/1/2010,4565,9/14/2010,1701,6922,9/18/2010,4866,5/5/2011,1773,7138,4/30/2011,5866,9/14/2011,1937,7050,9/10/2011,4951,5/3/2012,1367,6961,5/5/2012,5551,9/12/2012,"1,604","7,500",9/22/2012,"5,012",5/1/2013,"2,097","8,853",5/4/2013,"6,599",9/18/2013,"1,231","6,701",9/21/2013,"4,294",5/8/2014,"2,161","9,048",5/17/2014,"6,717",9/11/2014,"1,648","9,057",9/13/2014,"6,785",5/19/2015,"2,165","9,285",5/16/2015,"6,721",9/17/2015,1690,7894,9/26/2015,6844,05/10/16,"2,059","9,097",05/14/16,"6,688",09/20/16,"1,689","7,885",09/10/16,"6,900",05/09/17,"2,027","9,045",05/20/17,"6,683",09/06/17,"1,702","7,883",09/23/17,"6,921"
POINT (-73.86767352599497 40.85558871971952),8,8,Bronx,White Plains Road,Pelham Parkway South,Lydig Avenue,Y,5/10/2007,1025,4039,5/5/2007,3991,9/25/2007,1743,4667,9/29/2007,3309,5/1/2008,1638,4798,5/17/2008,4858,9/23/2008,1056,3194,10/4/2008,2489,5/5/2009,990,3490,5/2/2009,3335,9/10/2009,1461,5090,9/26/2009,2526,5/6/2010,1375,4834,5/1/2010,3095,9/8/2010,1568,4386,9/11/2010,2217,5/10/2011,1545,4402,4/30/2011,2985,9/8/2011,1689,3016,9/10/2011,2360,5/31/2012,1626,3415,6/2/2012,3828,9/11/2012,"1,591","5,398",9/15/2012,"3,851",5/1/2013,"1,410","4,232",5/4/2013,"3,007",10/9/2013,"1,479","4,910",10/12/2013,"4,056",5/8/2014,"1,495","5,166",5/17/2014,"2,540",9/4/2014,"1,769","4,114",9/13/2014,"2,893",5/13/2015,"1,512","4,333",5/16/2015,"3,122",9/17/2015,1537,4379,9/12/2015,3092,05/05/16,"1,638","5,900",05/07/16,"2,582",09/27/16,"1,377","4,098",09/10/16,"2,730",05/09/17,"1,186","4,673",05/20/17,"3,420",09/12/17,"2,023","5,520",09/23/17,"3,166"
POINT (-74.01119296689038 40.644266823587365),9,9,Brooklyn,5th Avenue,51st Street,52nd Street,Y,5/9/2007,856,5940,5/5/2007,4354,9/25/2007,900,5435,9/29/2007,5081,4/29/2008,886,7054,5/17/2008,4806,9/11/2008,1062,5072,9/13/2008,5901,5/5/2009,914,5730,5/9/2009,4619,9/10/2009,1364,5475,10/3/2009,4740,5/5/2010,982,5570,5/1/2010,5371,9/15/2010,946,5585,9/11/2010,4577,5/12/2011,1350,7743,5/7/2011,6135,9/20/2011,1445,8170,9/10/2011,4999,5/31/2012,1306,3662,6/9/2012,4731,9/11/2012,"1,419","4,864",10/20/2012,"6,325",5/2/2013,"1,457","6,509",5/18/2013,"6,070",9/18/2013,"1,658","6,627",9/21/2013,"5,690",5/13/2014,"1,522","7,718",5/3/2014,"6,313",9/9/2014,"1,721","7,988",9/13/2014,"6,391",5/12/2015,"1,791","7,802",5/9/2015,"6,762",9/16/2015,1655,7502,9/12/2015,6082,05/19/16,"1,531","7,296",05/14/16,"6,014",09/08/16,"1,642","8,130",09/10/16,"5,763",05/02/17,"1,517","7,384",05/20/17,"5,356",09/13/17,"1,563","4,730",09/16/17,"5,563"
POINT (-73.98067647018506 40.67609353714623),10,10,Brooklyn,5th Avenue,Union Street,President Street,Y,5/8/2007,504,2207,5/5/2007,2225,9/25/2007,422,2167,9/29/2007,1627,5/6/2008,672,2707,5/3/2008,966,9/11/2008,487,1898,9/6/2008,2321,5/5/2009,469,2547,5/9/2009,2259,9/10/2009,774,2310,10/3/2009,1690,5/4/2010,582,2274,5/1/2010,2808,9/14/2010,661,3063,9/18/2010,2141,5/4/2011,631,2915,4/30/2011,2852,9/8/2011,591,2848,9/17/2011,2307,5/2/2012,666,1414,5/12/2012,2620,9/11/2012,723,"3,255",9/15/2012,"2,468",5/2/2013,688,"2,764",5/18/2013,"2,554",9/18/2013,794,"2,513",9/21/2013,"2,591",5/6/2014,800,"3,051",5/3/2014,"3,080",9/9/2014,955,"2,390",9/13/2014,"1,962",5/6/2015,900,"2,492",5/9/2015,"3,081",9/9/2015,922,2955,9/12/2015,2681,05/10/16,941,"2,751",05/14/16,"3,131",09/21/16,951,"2,911",09/10/16,"2,248",05/09/17,812,"2,570",05/20/17,"2,298",09/12/17,905,"2,463",09/23/17,"1,679"
POINT (-73.98134205800814 40.66717415129592),11,11,Brooklyn,7th Avenue,9th Street,8th Street,Y,5/10/2007,2345,4089,5/5/2007,2519,9/25/2007,2167,3801,9/29/2007,1917,4/29/2008,3259,4733,5/10/2008,2682,9/16/2008,2646,3900,9/20/2008,3110,5/19/2009,2233,3986,5/9/2009,2944,9/10/2009,2718,4033,10/3/2009,2212,5/4/2010,2635,3881,5/1/2010,3436,9/8/2010,2888,5261,9/18/2010,2611,5/5/2011,2713,4018,4/30/2011,3026,9/7/2011,1944,3832,9/17/2011,2311,5/2/2012,2583,2641,6/9/2012,3858,9/11/2012,"3,050","4,019",9/15/2012,"3,058",5/14/2013,"2,917","4,540",5/18/2013,"3,242",10/9/2013,"3,241","4,642",10/5/2013,"2,709",5/29/2014,"3,479","3,914",5/17/2014,"3,293",9/16/2014,"3,009","3,314",9/13/2014,"2,215",5/27/2015,"2,165","3,920",5/30/2015,"2,742",9/9/2015,3553,4217,9/12/2015,2050,05/12/16,"3,134","4,792",05/07/16,"2,925",09/21/16,"1,838","4,557",09/10/16,"2,520",05/03/17,"3,108","4,288",05/06/17,"3,721",09/06/17,"3,494","4,122",09/16/17,"2,450"
POINT (-74.02728680504437 40.62213882920036),12,12,Brooklyn,86th Street,4th Avenue,5th Avenue,Y,5/10/2007,983,4193,5/5/2007,3886,9/25/2007,1073,5202,9/29/2007,3402,5/7/2008,1119,5128,5/17/2008,4606,9/16/2008,1092,4946,9/13/2008,4323,5/19/2009,1049,4674,5/9/2009,4406,9/10/2009,1038,4032,10/3/2009,2629,5/13/2010,1012,4519,5/15/2010,4063,9/22/2010,1039,4462,9/25/2010,3549,5/12/2011,1211,5288,4/30/2011,4464,9/20/2011,1236,6226,9/24/2011,4179,5/3/2012,1118,3466,5/12/2012,6416,9/11/2012,"1,533","5,237",9/15/2012,"4,778",5/1/2013,"1,406","5,814",5/4/2013,"5,289",10/1/2013,"1,452","5,233",9/28/2013,"5,124",5/6/2014,"1,534","5,281",5/3/2014,"4,049",9/4/2014,"1,177","5,615",9/6/2014,"3,740",5/6/2015,"1,473","6,828",5/9/2015,"5,036",9/16/2015,1678,5514,9/12/2015,4362,05/10/16,"1,456","4,475",05/14/16,"5,356",09/08/16,"1,561","6,338",09/10/16,"5,412",05/02/17,"1,611","6,632",05/20/17,"4,163",09/06/17,"1,441","5,004",09/23/17,"3,638"
POINT (-73.98983165443038 40.688847816021976),13,13,Brooklyn,Atlantic Avenue,Boerum Place,Smith Street,N,5/17/2007,357,889,5/5/2007,836,9/25/2007,356,1063,9/29/2007,831,5/8/2008,473,1335,5/17/2008,742,9/17/2008,411,1147,9/13/2008,984,5/19/2009,363,1216,5/9/2009,865,9/10/2009,228,902,10/3/2009,766,5/4/2010,387,1701,5/1/2010,1189,9/14/2010,399,1385,9/18/2010,967,5/12/2011,366,1273,5/7/2011,1284,9/14/2011,376,1175,9/17/2011,1366,5/2/2012,397,756,6/9/2012,1374,9/11/2012,499,"1,182",9/15/2012,"1,469",5/1/2013,442,"1,637",5/4/2013,"1,402",9/25/2013,506,"1,561",9/21/2013,"1,309",5/20/2014,440,"1,605",5/31/2014,"1,816",9/4/2014,518,"1,497",9/6/2014,"1,340",5/13/2015,462,"1,528",5/16/2015,"1,272",9/24/2015,498,1807,9/12/2015,962,05/19/16,583,"1,916",05/14/16,"1,914",09/14/16,561,"1,706",09/10/16,"1,385",05/02/17,553,"2,253",05/06/17,"2,134",09/07/17,603,"2,018",09/16/17,"1,935"
POINT (-73.95802234844946 40.71755737770769),14,14,Brooklyn,Bedford Avenue,North 7th Street,North 6th Street,Y,5/8/2007,1852,4462,5/5/2007,3432,9/25/2007,1875,3619,9/29/2007,3254,4/30/2008,1823,4299,5/3/2008,3526,9/10/2008,1951,4778,9/13/2008,4048,5/19/2009,1544,5501,5/9/2009,4110,9/10/2009,2001,5136,10/3/2009,4045,5/13/2010,2179,5234,5/1/2010,4727,9/15/2010,1773,5090,9/11/2010,4184,5/5/2011,2434,6391,5/7/2011,5872,9/15/2011,2109,5692,9/10/2011,3690,6/7/2012,2817,4144,6/16/2012,5649,9/13/2012,"1,984","6,429",9/22/2012,"5,619",5/2/2013,"2,300","6,527",5/4/2013,"6,351",9/25/2013,"2,593","6,261",9/21/2013,"5,405",5/13/2014,"2,585","6,453",5/31/2014,"4,951",9/9/2014,"3,463","7,600",9/6/2014,"5,494",5/12/2015,"2,765","7,266",5/9/2015,"4,585",9/24/2015,2714,6300,9/12/2015,4630,05/19/16,"2,621","6,058",05/21/16,"5,038",09/20/16,"3,410","8,301",09/10/16,"5,014",05/02/17,"2,930","8,736",05/20/17,"6,209",09/06/17,"2,566","6,127",09/23/17,"3,572"
POINT (-73.96276340616195 40.57732714149913),15,15,Brooklyn,Brighton Beach Avenue,Brighton 4th Street,Brighton 5th Street,Y,5/8/2007,1204,5968,5/5/2007,5178,9/25/2007,1215,6095,9/29/2007,5230,4/30/2008,2002,7419,5/17/2008,7729,9/23/2008,1828,6420,9/27/2008,5920,5/19/2009,1411,6106,5/9/2009,5935,9/10/2009,1537,5590,10/3/2009,6140,5/13/2010,1332,5744,5/8/2010,4994,10/7/2010,1489,6080,9/25/2010,5098,5/12/2011,1427,5859,5/14/2011,4093,9/8/2011,1608,5520,9/24/2011,5463,5/2/2012,1183,3189,6/9/2012,4868,9/11/2012,"1,447","5,272",9/15/2012,"5,747",5/2/2013,"1,515","5,960",5/18/2013,"5,442",10/2/2013,"1,424","6,068",9/28/2013,"5,397",5/7/2014,"1,596","6,037",5/10/2014,"4,804",9/9/2014,"1,752","6,397",9/6/2014,"4,453",5/21/2015,"1,368","6,314",5/9/2015,"4,918",9/10/2015,1687,5859,10/3/2015,5431,05/19/16,"1,471","5,257",05/21/16,"5,266",09/15/16,"1,531","5,930",09/24/16,"5,092",05/09/17,"1,791","6,544",05/20/17,"4,502",09/06/17,"1,575","5,315",09/23/17,"4,827"
POINT (-73.94908133692475 40.65083146771739),16,16,Brooklyn,Church Avenue,Nostrand Avenue,East 31st Street,Y,5/8/2007,2105,4562,5/5/2007,1703,9/25/2007,2267,4737,9/29/2007,2517,5/1/2008,1681,3702,5/10/2008,2147,9/23/2008,2290,3962,9/27/2008,2015,5/19/2009,2086,4620,5/9/2009,1971,9/10/2009,2045,4470,10/3/2009,1885,5/13/2010,2040,4764,5/8/2010,2533,9/15/2010,2265,4908,9/25/2010,2894,5/5/2011,2309,4858,5/21/2011,2628,9/15/2011,2151,4220,9/24/2011,1927,5/31/2012,1268,1113,6/2/2012,3157,9/13/2012,"1,966","4,452",9/22/2012,"2,540",5/7/2013,"2,557","4,871",6/1/2013,"3,267",10/3/2013,"3,074","6,095",10/12/2013,"3,235",5/13/2014,"2,453","5,196",5/3/2014,"2,016",10/2/2014,"2,792","4,516",9/13/2014,"2,768",5/21/2015,"1,925","4,137",5/9/2015,"2,528",9/24/2015,1680,4884,9/12/2015,2375,05/10/16,"2,084","3,832",05/14/16,"2,282",09/15/16,"2,024","4,229",09/10/16,"2,040",05/09/17,"2,441","3,888",05/06/17,"2,533",09/13/17,"2,213","3,864",09/09/17,"2,368"
POINT (-73.96573732115321 40.64062739307864),17,17,Brooklyn,Cortelyou Road,Argyle Road,Rugby Road,N,5/8/2007,1708,2459,5/5/2007,1233,9/26/2007,1324,2495,9/29/2007,1431,5/7/2008,1756,1952,5/17/2008,1317,9/23/2008,2014,2704,9/27/2008,1961,5/19/2009,1762,2478,5/9/2009,1553,9/10/2009,1856,2345,10/3/2009,1533,5/4/2010,2110,2977,5/1/2010,1731,9/8/2010,2587,2997,9/18/2010,1809,5/3/2011,2195,3492,5/14/2011,1883,9/14/2011,2489,3097,9/17/2011,1823,5/30/2012,2120,2381,5/12/2012,1854,9/13/2012,"2,295","3,066",9/22/2012,"1,755",5/7/2013,"2,060","2,936",6/1/2013,"1,938",10/8/2013,"1,743","2,692",10/12/2013,"1,543",5/13/2014,"1,828","3,007",5/3/2014,"1,694",9/16/2014,"1,876","2,878",9/13/2014,"1,486",5/6/2015,"1,880","3,042",5/9/2015,"1,544",9/16/2015,1608,2762,9/12/2015,2439,05/10/16,"2,074","2,634",05/14/16,"1,939",09/13/16,"2,570","2,747",09/17/16,"3,234",05/03/17,"2,052","3,015",05/20/17,"1,712",09/07/17,"2,598","3,427",09/23/17,"2,107"
POINT (-73.99249336775775 40.68942537824671),18,18,Brooklyn,Court Street,Atlantic Avenue,Pacific Street,Y,5/8/2007,1910,3716,5/5/2007,3013,9/25/2007,1920,3508,9/29/2007,2293,5/8/2008,1590,3486,5/17/2008,2319,9/17/2008,1763,3553,9/13/2008,2540,5/20/2009,1727,4225,5/9/2009,2863,9/10/2009,1223,2992,10/3/2009,2640,5/4/2010,1573,4214,5/1/2010,2662,9/14/2010,1659,4621,9/18/2010,3028,5/12/2011,2320,4597,5/7/2011,3887,9/14/2011,2096,3915,9/17/2011,4100,5/2/2012,1740,2405,6/9/2012,3274,9/11/2012,"1,932","4,402",9/15/2012,"3,863",5/16/2013,"1,687","5,174",5/18/2013,"3,605",9/25/2013,"1,952","5,266",9/21/2013,"3,787",5/20/2014,"1,844","4,426",5/31/2014,"4,856",9/4/2014,"2,126","4,943",9/6/2014,"4,048",5/13/2015,"1,761","4,714",5/16/2015,"7,496",9/24/2015,1987,5846,9/12/2015,3163,05/19/16,"2,003","5,309",05/14/16,"4,003",09/14/16,"2,308","4,503",09/17/16,"3,170",05/02/17,"2,347","5,287",05/06/17,"4,713",09/07/17,"2,341","5,129",09/16/17,"3,671"
POINT (-73.96818725047231 40.67292523718998),19,19,Brooklyn,Eastern Parkway,Plaza Street East,Underhill Avenue,Y,5/8/2007,739,1572,5/5/2007,2534,9/25/2007,543,1152,9/29/2007,1027,5/1/2008,643,1367,5/10/2008,2999,9/10/2008,785,1274,9/13/2008,1759,5/20/2009,629,880,5/9/2009,2408,9/10/2009,755,1496,10/3/2009,3102,5/4/2010,577,1647,5/1/2010,2951,9/8/2010,812,1695,9/18/2010,2738,5/5/2011,412,1792,4/30/2011,4699,9/7/2011,525,1094,9/17/2011,2670,5/31/2012,571,1133,6/9/2012,2024,9/11/2012,"1,228","1,623",9/15/2012,"1,842",5/2/2013,970,"2,269",5/4/2013,"4,276",10/3/2013,752,"2,010",10/5/2013,"3,458",5/13/2014,687,"2,127",5/31/2014,"3,828",9/30/2014,"1,026","1,931",9/13/2014,"2,565",5/27/2015,824,"1,884",5/30/2015,"2,511",9/16/2015,995,2042,9/12/2015,3333,05/12/16,"1,037","2,601",05/07/16,"2,078",09/21/16,"1,161","2,381",09/17/16,"3,082",05/03/17,"1,217","2,749",05/06/17,"2,205",09/12/17,"1,424","2,276",09/23/17,"2,670"
POINT (-73.9214952312361 40.60892082145515),20,20,Brooklyn,Flatbush Avenue,Avenue U,Avenue V,N,5/9/2007,329,1770,5/5/2007,1355,9/25/2007,276,1414,9/29/2007,1036,5/8/2008,254,1401,5/17/2008,1473,9/24/2008,286,2034,9/27/2008,1238,5/20/2009,251,1243,5/9/2009,1251,9/10/2009,436,1573,10/3/2009,1398,5/4/2010,424,1731,5/1/2010,1563,9/14/2010,214,1155,9/18/2010,989,5/11/2011,269,1083,5/7/2011,1283,9/14/2011,184,1079,9/17/2011,870,5/2/2012,197,1071,6/9/2012,1765,9/13/2012,347,"1,554",9/22/2012,"1,757",5/16/2013,312,"1,827",5/4/2013,"2,077",9/24/2013,307,"1,219",9/28/2013,"2,014",5/13/2014,325,"1,618",5/3/2014,"1,919",9/9/2014,273,"1,622",9/13/2014,"1,500",5/6/2015,453,"1,661",5/9/2015,"1,523",9/16/2015,317,1420,9/19/2015,1254,05/10/16,238,816,05/21/16,"1,449",09/13/16,372,"2,698",09/17/16,"1,487",05/11/17,386,"1,792",05/20/17,"1,387",09/06/17,236,999,09/23/17,939
POINT (-73.95882184227794 40.65081053674952),21,21,Brooklyn,Flatbush Avenue,Martense Street,Church Avenue,Y,5/10/2007,978,5240,5/5/2007,5106,9/25/2007,917,4188,9/29/2007,3097,4/30/2008,772,3181,5/10/2008,2023,9/24/2008,1101,5312,9/27/2008,2351,5/20/2009,795,5640,5/9/2009,1985,9/10/2009,1029,4897,10/3/2009,3047,5/13/2010,1311,4775,5/8/2010,2678,9/23/2010,1186,4813,9/11/2010,4735,5/4/2011,837,3982,5/14/2011,2197,9/20/2011,978,4959,9/17/2011,3917,5/22/2012,605,482,6/2/2012,1855,9/13/2012,"1,011","4,044",9/22/2012,"3,530",5/7/2013,"1,068","4,481",6/1/2013,"3,463",10/3/2013,"1,046","4,091",10/12/2013,"3,695",5/13/2014,912,"4,854",5/10/2014,"2,505",10/2/2014,960,"3,974",9/6/2014,"2,338",5/6/2015,858,"3,832",5/16/2015,"3,665",9/17/2015,1001,4588,9/12/2015,3058,05/10/16,"1,280","3,936",05/14/16,"3,960",09/20/16,"1,037","4,115",09/17/16,"2,642",05/02/17,903,"3,955",05/20/17,"3,370",09/07/17,"1,032","4,343",09/09/17,"2,716"
POINT (-73.97390965382397 40.67918699313473),22,22,Brooklyn,Flatbush Avenue,St. Marks Avenue,Prospect Place,N,5/17/2007,497,1413,5/5/2007,1478,9/25/2007,547,1095,9/29/2007,1191,4/30/2008,477,1675,5/3/2008,1211,9/10/2008,582,1645,9/13/2008,1204,5/20/2009,544,1499,5/9/2009,1378,9/10/2009,539,1568,10/3/2009,1223,5/4/2010,584,1462,5/1/2010,1787,9/8/2010,529,1616,9/18/2010,1168,5/19/2011,566,1794,4/30/2011,1568,9/7/2011,513,1909,9/17/2011,1336,5/10/2012,1435,1672,5/19/2012,2007,9/11/2012,645,"1,723",9/15/2012,"1,727",5/2/2013,527,"2,083",5/4/2013,"2,233",10/3/2013,759,"2,257",10/5/2013,"1,631",5/14/2014,631,"1,795",5/31/2014,"1,920",10/2/2014,729,"1,660",9/13/2014,"1,583",5/27/2015,699,"2,090",5/30/2015,"1,699",9/16/2015,685,2542,9/12/2015,1486,05/12/16,714,"2,244",05/07/16,"1,524",09/21/16,808,"2,407",09/17/16,"1,461",05/03/17,895,"2,459",05/06/17,"1,794",09/12/17,882,"2,678",09/09/17,"1,380"
